city,locality,property_type,bedrooms,area_sqft,price_per_sqft,transaction_date,price_total,source
Bangalore,Whitefield,Apartment,2,975.0,4641.0,2024-06-09,45.25,
Bangalore,Electronic City,Apartment,5,1675.0,6790.0,2024-12-29,113.73,
Bangalore,Indiranagar,Apartment,2,941.0,9524.0,2024-11-26,89.62,
Bangalore,Electronic City,Apartment,1,973.0,8425.0,2024-06-17,81.98,
Bangalore,Electronic City,Apartment,3,903.0,9736.0,2024-10-17,87.92,
Bangalore,HSR Layout,Apartment,4,872.0,6127.0,2024-10-05,53.43,
Bangalore,Indiranagar,Apartment,2,1317.0,6249.0,2024-04-07,82.3,
Bangalore,Indiranagar,Villa,3,1110.0,8409.0,2025-02-26,93.34,
Bangalore,Electronic City,Row House,1,1106.0,10604.0,2025-04-02,117.28,
Bangalore,Whitefield,Apartment,4,1019.0,6745.0,2024-04-22,68.73,
Bangalore,Indiranagar,Row House,4,1512.0,7009.0,2024-09-08,105.98,
Bangalore,Jayanagar,Apartment,2,1003.0,8838.0,2024-10-27,88.65,
Bangalore,Electronic City,Apartment,1,2089.0,7221.0,2025-03-21,150.85,
Bangalore,HSR Layout,Apartment,4,1689.0,5530.0,2024-12-19,93.4,
Bangalore,Whitefield,Apartment,3,1064.0,5801.0,2024-05-30,61.72,
Bangalore,Jayanagar,Apartment,3,1602.0,9076.0,2024-08-22,145.4,
Bangalore,Jayanagar,Apartment,3,1384.0,5283.0,2024-10-18,73.12,
Bangalore,HSR Layout,Apartment,3,1282.0,10794.0,2025-03-03,138.38,
Bangalore,Whitefield,Apartment,4,1481.0,6619.0,2024-07-29,98.03,
Bangalore,Electronic City,Apartment,4,1219.0,9232.0,2024-08-02,112.54,
Bangalore,Koramangala,Apartment,4,1284.0,6739.0,2024-07-11,86.53,
Bangalore,Whitefield,Apartment,3,1488.0,6170.0,2024-11-16,91.81,
Bangalore,HSR Layout,Apartment,4,1918.0,8492.0,2024-07-06,162.88,
Bangalore,Jayanagar,Villa,3,1288.0,10104.0,2024-12-31,130.14,
Bangalore,Electronic City,Apartment,3,1041.0,7505.0,2024-08-22,78.13,
Bangalore,Whitefield,Row House,2,490.0,7869.0,2025-02-26,38.56,
Bangalore,Koramangala,Apartment,4,1886.0,9615.0,2024-06-08,181.34,
Bangalore,Koramangala,Villa,4,1108.0,9681.0,2025-03-08,107.27,
Bangalore,Indiranagar,Villa,3,1387.0,7923.0,2024-05-23,109.89,
Bangalore,Indiranagar,Apartment,4,1867.0,7113.0,2024-08-04,132.8,
Bangalore,HSR Layout,Apartment,3,1280.0,8165.0,2024-08-13,104.51,
Bangalore,Whitefield,Apartment,2,1132.0,7618.0,2024-10-03,86.24,
Bangalore,Whitefield,Plot,2,1697.0,8626.0,2024-07-08,146.38,
Bangalore,Jayanagar,Apartment,2,1361.0,5611.0,2024-08-13,76.37,
Bangalore,Jayanagar,Apartment,2,1405.0,8554.0,2024-08-10,120.18,
Bangalore,Jayanagar,Villa,1,667.0,6563.0,2024-07-14,43.78,
Bangalore,Indiranagar,Villa,3,1622.0,9812.0,2024-04-12,159.15,
Bangalore,Whitefield,Apartment,2,1331.0,6655.0,2024-05-01,88.58,
Bangalore,Whitefield,Apartment,3,720.0,6690.0,2025-01-31,48.17,
Bangalore,Koramangala,Plot,2,1370.0,8891.0,2024-10-11,121.81,
Bangalore,Indiranagar,Apartment,3,478.0,8028.0,2025-04-03,38.37,
Bangalore,Electronic City,Apartment,2,2020.0,12553.0,2024-11-15,253.57,
Bangalore,Indiranagar,Villa,2,814.0,4741.0,2024-10-30,38.59,
Bangalore,Electronic City,Apartment,3,1764.0,8220.0,2024-05-17,145.0,
Bangalore,Koramangala,Villa,3,915.0,10259.0,2024-11-11,93.87,
Bangalore,HSR Layout,Apartment,2,1396.0,6843.0,2024-06-17,95.53,
Bangalore,Whitefield,Apartment,4,881.0,6179.0,2024-11-04,54.44,
Bangalore,Koramangala,Apartment,1,1549.0,6258.0,2024-09-25,96.94,
Bangalore,Whitefield,Apartment,3,1118.0,4776.0,2025-01-23,53.4,
Bangalore,Jayanagar,Apartment,5,1364.0,10699.0,2024-06-05,145.93,
Bangalore,HSR Layout,Row House,3,1205.0,7341.0,2024-04-27,88.46,
Bangalore,HSR Layout,Apartment,3,722.0,7104.0,2024-11-17,51.29,
Bangalore,Koramangala,Apartment,3,1376.0,3752.0,2024-10-01,51.63,
Bangalore,HSR Layout,Row House,3,1024.0,5133.0,2024-06-17,52.56,
Bangalore,Electronic City,Row House,3,1566.0,10931.0,2025-02-04,171.18,
Bangalore,HSR Layout,Apartment,2,1117.0,8606.0,2024-09-20,96.13,
Bangalore,Whitefield,Plot,2,1173.0,10333.0,2024-06-15,121.21,
Bangalore,Whitefield,Apartment,3,1789.0,10080.0,2024-05-22,180.33,
Bangalore,Whitefield,Apartment,4,2034.0,5999.0,2024-06-08,122.02,
Bangalore,Whitefield,Villa,3,1475.0,12860.0,2024-04-27,189.68,
Bangalore,Electronic City,Villa,2,1100.0,11899.0,2025-03-26,130.89,
Bangalore,Indiranagar,Plot,3,1069.0,6872.0,2025-02-03,73.46,
Bangalore,Jayanagar,Apartment,3,913.0,864.0,2024-05-08,7.89,
Bangalore,Koramangala,Plot,2,981.0,7287.0,2024-08-23,71.49,
Bangalore,Whitefield,Plot,2,1104.0,8477.0,2024-11-04,93.59,
Bangalore,HSR Layout,Plot,3,1887.0,6865.0,2024-09-19,129.54,
Bangalore,Whitefield,Villa,3,1131.0,7557.0,2025-02-13,85.47,
Bangalore,HSR Layout,Apartment,2,771.0,6343.0,2024-07-20,48.9,
Bangalore,Jayanagar,Apartment,2,1215.0,9843.0,2025-02-06,119.59,
Bangalore,Jayanagar,Apartment,1,1262.0,8127.0,2025-01-24,102.56,
Bangalore,Jayanagar,Plot,1,1212.0,9903.0,2024-11-09,120.02,
Bangalore,HSR Layout,Row House,5,1480.0,10444.0,2024-04-22,154.57,
Bangalore,Whitefield,Apartment,4,1224.0,3651.0,2025-02-02,44.69,
Bangalore,Jayanagar,Apartment,2,1469.0,6459.0,2024-05-31,94.88,
Bangalore,Electronic City,Apartment,5,927.0,6752.0,2024-08-06,62.59,
Bangalore,HSR Layout,Apartment,3,1823.0,13143.0,2024-05-11,239.6,
Bangalore,HSR Layout,Row House,3,1288.0,8298.0,2024-12-20,106.88,
Bangalore,Whitefield,Apartment,3,1340.0,9625.0,2024-08-23,128.98,
Bangalore,HSR Layout,Apartment,1,925.0,4239.0,2024-05-28,39.21,
Bangalore,HSR Layout,Apartment,1,1365.0,8286.0,2024-08-31,113.1,
Bangalore,Jayanagar,Apartment,3,1428.0,9957.0,2024-08-08,142.19,
Bangalore,Whitefield,Apartment,3,791.0,9724.0,2024-07-21,76.92,
Bangalore,Jayanagar,Villa,2,619.0,9247.0,2024-07-18,57.24,
Bangalore,Jayanagar,Villa,4,1303.0,8026.0,2025-04-01,104.58,
Bangalore,Whitefield,Apartment,3,1029.0,8123.0,2024-07-19,83.59,
Bangalore,Koramangala,Apartment,2,1291.0,4613.0,2025-02-11,59.55,
Bangalore,Jayanagar,Apartment,4,748.0,6199.0,2025-02-18,46.37,
Bangalore,Electronic City,Apartment,5,654.0,8462.0,2024-09-03,55.34,
Bangalore,Electronic City,Apartment,5,1272.0,6568.0,2024-10-11,83.54,
Bangalore,HSR Layout,Apartment,1,1078.0,9378.0,2025-03-28,101.09,
Bangalore,Electronic City,Row House,3,461.0,8934.0,2024-12-28,41.19,
Bangalore,HSR Layout,Apartment,3,1670.0,10735.0,2025-03-17,179.27,
Bangalore,Koramangala,Plot,3,742.0,9917.0,2024-08-08,73.58,
Bangalore,Whitefield,Apartment,5,2101.0,8455.0,2025-02-04,177.64,
Bangalore,Whitefield,Apartment,3,982.0,9496.0,2024-10-10,93.25,
Bangalore,Whitefield,Apartment,4,1341.0,10010.0,2024-05-03,134.23,
Bangalore,Electronic City,Apartment,4,1776.0,6985.0,2025-02-03,124.05,
Bangalore,Koramangala,Plot,4,1718.0,7341.0,2024-11-12,126.12,
Bangalore,Electronic City,Apartment,3,1895.0,7806.0,2024-09-02,147.92,
Bangalore,Electronic City,Apartment,2,667.0,7049.0,2025-04-03,47.02,
Bangalore,Koramangala,Apartment,2,802.0,10031.0,2024-10-28,80.45,
Bangalore,Koramangala,Villa,4,1279.0,6745.0,2024-08-22,86.27,
Bangalore,Koramangala,Apartment,2,1494.0,10503.0,2024-07-11,156.91,
Bangalore,Koramangala,Row House,3,1196.0,7266.0,2024-12-07,86.9,
Bangalore,Whitefield,Apartment,2,627.0,8945.0,2025-01-07,56.09,
Bangalore,Indiranagar,Apartment,3,1374.0,8333.0,2024-05-12,114.5,
Bangalore,Indiranagar,Plot,4,1132.0,6048.0,2025-01-28,68.46,
Bangalore,Koramangala,Villa,4,1128.0,7960.0,2024-04-14,89.79,
Bangalore,Indiranagar,Row House,2,403.0,8667.0,2024-12-29,34.93,
Bangalore,Indiranagar,Apartment,4,1479.0,7871.0,2024-07-13,116.41,
Bangalore,Koramangala,Apartment,3,1251.0,5315.0,2024-12-22,66.49,
Bangalore,Indiranagar,Apartment,2,1828.0,11403.0,2024-05-18,208.45,
Bangalore,Electronic City,Row House,3,1174.0,8175.0,2024-12-04,95.97,
Bangalore,HSR Layout,Apartment,3,1398.0,6411.0,2025-03-08,89.63,
Bangalore,HSR Layout,Apartment,2,1491.0,11242.0,2024-11-20,167.62,
Bangalore,Koramangala,Apartment,3,589.0,9235.0,2024-09-23,54.39,
Bangalore,Whitefield,Apartment,2,2116.0,5600.0,2024-08-23,118.5,
Bangalore,Koramangala,Apartment,2,1049.0,5911.0,2024-05-09,62.01,
Bangalore,Whitefield,Apartment,3,1373.0,7555.0,2024-10-18,103.73,
Bangalore,HSR Layout,Apartment,2,1424.0,8595.0,2025-03-28,122.39,
Bangalore,Koramangala,Villa,3,915.0,9246.0,2025-02-25,84.6,
Bangalore,Jayanagar,Plot,3,1846.0,9900.0,2025-03-12,182.75,
Bangalore,Electronic City,Apartment,3,1293.0,9079.0,2024-07-19,117.39,
Bangalore,Indiranagar,Apartment,3,1125.0,10693.0,2024-08-23,120.3,
Bangalore,Whitefield,Apartment,4,1248.0,8254.0,2024-12-03,103.01,
Bangalore,Jayanagar,Apartment,3,1467.0,6481.0,2025-02-27,95.08,
Bangalore,Indiranagar,Apartment,3,1204.0,7993.0,2024-05-13,96.24,
Bangalore,Indiranagar,Apartment,2,1509.0,7862.0,2024-07-29,118.64,
Bangalore,Koramangala,Apartment,3,610.0,2844.0,2024-10-12,17.35,
Bangalore,Indiranagar,Villa,3,938.0,6877.0,2025-01-06,64.51,
Bangalore,Electronic City,Apartment,1,451.0,8628.0,2025-02-28,38.91,
Bangalore,Jayanagar,Villa,3,1899.0,7152.0,2024-05-25,135.82,
Bangalore,Indiranagar,Apartment,3,1894.0,6708.0,2024-10-12,127.05,
Bangalore,Koramangala,Apartment,4,1419.0,9823.0,2024-06-26,139.39,
Bangalore,Electronic City,Apartment,5,846.0,6167.0,2025-01-15,52.17,
Bangalore,HSR Layout,Apartment,3,2036.0,9423.0,2024-12-13,191.85,
Bangalore,Jayanagar,Apartment,2,988.0,5335.0,2025-02-25,52.71,
Bangalore,Indiranagar,Apartment,1,1125.0,13522.0,2024-06-09,152.12,
Bangalore,Koramangala,Apartment,4,1256.0,7569.0,2024-08-25,95.07,
Bangalore,HSR Layout,Apartment,4,1358.0,7353.0,2024-05-23,99.85,
Bangalore,HSR Layout,Apartment,2,1425.0,10286.0,2024-04-22,146.58,
Bangalore,Whitefield,Apartment,3,1439.0,7163.0,2024-12-12,103.08,
Bangalore,Electronic City,Apartment,1,1149.0,10910.0,2024-10-02,125.36,
Bangalore,Indiranagar,Apartment,2,1434.0,8743.0,2024-05-18,125.37,
Bangalore,Koramangala,Plot,2,1134.0,7763.0,2025-02-09,88.03,
Bangalore,Whitefield,Apartment,2,1403.0,7550.0,2025-02-25,105.93,
Bangalore,Electronic City,Apartment,5,1374.0,10415.0,2024-04-17,143.1,
Bangalore,Whitefield,Apartment,3,1467.0,8461.0,2025-02-25,124.12,
Bangalore,Jayanagar,Apartment,2,1423.0,8865.0,2024-04-24,126.15,
