city,locality,property_type,bedrooms,area_sqft,price_per_sqft,transaction_date,price_total,source
Bangalore,Whitefield,Apartment,3,1495.0,7643.0,2024-05-16,114.26,bangalore_govt
Bangalore,Electronic City,Apartment,3,1329.0,4307.0,2024-04-14,57.24,bangalore_govt
Bangalore,Indiranagar,Apartment,4,1482.0,6248.0,2024-10-29,92.6,bangalore_govt
Bangalore,Electronic City,Villa,2,1521.0,7617.0,2024-04-23,115.85,bangalore_govt
Bangalore,Electronic City,Row House,3,1878.0,7102.0,2024-04-23,133.38,bangalore_govt
Bangalore,HSR Layout,Villa,4,1145.0,8017.0,2024-06-24,91.79,bangalore_govt
Bangalore,Indiranagar,Apartment,3,690.0,5238.0,2025-03-19,36.14,bangalore_govt
Bangalore,Indiranagar,Apartment,3,1295.0,7079.0,2025-02-21,91.67,bangalore_govt
Bangalore,Indiranagar,Apartment,3,966.0,8304.0,2024-11-02,80.22,bangalore_govt
Bangalore,Electronic City,Row House,3,865.0,8020.0,2024-04-16,69.37,bangalore_govt
Bangalore,Whitefield,Villa,4,1235.0,8894.0,2024-08-18,109.84,bangalore_govt
Bangalore,Indiranagar,Apartment,3,1503.0,8777.0,2024-05-25,131.92,bangalore_govt
Bangalore,Jayanagar,Villa,5,907.0,7186.0,2024-08-24,65.18,bangalore_govt
Bangalore,Electronic City,Villa,1,1646.0,8240.0,2024-09-01,135.63,bangalore_govt
Bangalore,HSR Layout,Apartment,1,854.0,6400.0,2025-02-09,54.66,bangalore_govt
Bangalore,Whitefield,Row House,3,1115.0,7460.0,2025-03-06,83.18,bangalore_govt
Bangalore,Jayanagar,Plot,2,1335.0,5889.0,2024-04-14,78.62,bangalore_govt
Bangalore,Jayanagar,Apartment,2,1064.0,10131.0,2025-02-06,107.79,bangalore_govt
Bangalore,HSR Layout,Apartment,2,578.0,7453.0,2024-04-18,43.08,bangalore_govt
Bangalore,Whitefield,Apartment,2,1525.0,10128.0,2024-08-14,154.45,bangalore_govt
Bangalore,Electronic City,Apartment,1,982.0,8623.0,2024-12-20,84.68,bangalore_govt
Bangalore,Koramangala,Apartment,5,1461.0,6229.0,2024-09-27,91.01,bangalore_govt
Bangalore,Whitefield,Apartment,2,758.0,8502.0,2025-03-19,64.45,bangalore_govt
Bangalore,HSR Layout,Row House,3,817.0,9619.0,2024-08-23,78.59,bangalore_govt
Bangalore,Jayanagar,Apartment,3,1502.0,7845.0,2024-10-21,117.83,bangalore_govt
Bangalore,Electronic City,Apartment,4,1319.0,8148.0,2025-01-25,107.47,bangalore_govt
Bangalore,Whitefield,Apartment,1,1046.0,6897.0,2024-04-09,72.14,bangalore_govt
Bangalore,Koramangala,Apartment,4,1324.0,8048.0,2025-02-11,106.56,bangalore_govt
Bangalore,Koramangala,Villa,3,866.0,8476.0,2024-08-04,73.4,bangalore_govt
Bangalore,Indiranagar,Apartment,3,1239.0,6842.0,2024-04-21,84.77,bangalore_govt
Bangalore,Indiranagar,Apartment,3,1245.0,5841.0,2025-01-20,72.72,bangalore_govt
Bangalore,HSR Layout,Apartment,4,1069.0,10576.0,2025-03-02,113.06,bangalore_govt
Bangalore,Whitefield,Villa,2,908.0,9208.0,2024-07-13,83.61,bangalore_govt
Bangalore,Whitefield,Villa,3,1225.0,6905.0,2024-05-24,84.59,bangalore_govt
Bangalore,Jayanagar,Apartment,3,1181.0,8439.0,2024-06-10,99.66,bangalore_govt
Bangalore,Jayanagar,Apartment,3,1037.0,5043.0,2024-12-06,52.3,bangalore_govt
Bangalore,Jayanagar,Apartment,5,838.0,4046.0,2024-05-17,33.91,bangalore_govt
Bangalore,Indiranagar,Apartment,2,1204.0,10168.0,2025-03-12,122.42,bangalore_govt
Bangalore,Whitefield,Apartment,5,1038.0,8459.0,2024-10-28,87.8,bangalore_govt
Bangalore,Whitefield,Apartment,1,838.0,7905.0,2025-01-12,66.24,bangalore_govt
Bangalore,Koramangala,Apartment,1,1215.0,8465.0,2024-12-13,102.85,bangalore_govt
Bangalore,Indiranagar,Apartment,1,1763.0,14452.0,2024-08-26,254.79,bangalore_govt
Bangalore,Electronic City,Plot,2,1072.0,9738.0,2024-10-22,104.39,bangalore_govt
Bangalore,Indiranagar,Apartment,3,1724.0,5909.0,2024-09-27,101.87,bangalore_govt
Bangalore,Electronic City,Apartment,1,1940.0,4639.0,2024-10-13,90.0,bangalore_govt
Bangalore,Koramangala,Apartment,1,866.0,10109.0,2025-04-05,87.54,bangalore_govt
Bangalore,HSR Layout,Apartment,4,1203.0,9712.0,2024-08-20,116.84,bangalore_govt
Bangalore,Whitefield,Villa,4,1936.0,9150.0,2025-01-10,177.14,bangalore_govt
Bangalore,Koramangala,Apartment,4,1158.0,6374.0,2025-02-03,73.81,bangalore_govt
Bangalore,Whitefield,Apartment,4,1213.0,8727.0,2024-05-21,105.86,bangalore_govt
Bangalore,Jayanagar,Villa,3,615.0,6553.0,2024-09-12,40.3,bangalore_govt
Bangalore,HSR Layout,Apartment,2,1014.0,9326.0,2024-12-22,94.57,bangalore_govt
Bangalore,HSR Layout,Apartment,2,1394.0,9965.0,2024-05-23,138.91,bangalore_govt
Bangalore,Koramangala,Plot,3,2050.0,6913.0,2024-06-19,141.72,bangalore_govt
Bangalore,HSR Layout,Apartment,2,1131.0,10264.0,2024-07-30,116.09,bangalore_govt
