city,locality,property_type,bedrooms,area_sqft,price_per_sqft,transaction_date,price_total,source
Delhi,Greater Kailash,Apartment,3,1369.0,14196.0,2024-05-16,194.34,delhi_govt
Delhi,South Extension,Apartment,3,1218.0,6692.0,2024-04-14,81.51,delhi_govt
Delhi,Rohini,Apartment,4,1357.0,11058.0,2024-10-29,150.06,delhi_govt
Delhi,South Extension,Villa,2,1393.0,14139.0,2024-04-23,196.96,delhi_govt
Delhi,South Extension,Row House,3,1720.0,12980.0,2024-04-23,223.26,delhi_govt
Delhi,Dwarka,Villa,4,1050.0,15039.0,2024-06-24,157.91,delhi_govt
Delhi,Rohini,Apartment,3,634.0,8786.0,2025-03-19,55.7,delhi_govt
Delhi,Rohini,Apartment,3,1187.0,12929.0,2025-02-21,153.47,delhi_govt
Delhi,Rohini,Apartment,3,886.0,15684.0,2024-11-02,138.96,delhi_govt
Delhi,South Extension,Row House,3,794.0,15046.0,2024-04-16,119.47,delhi_govt
Delhi,Greater Kailash,Villa,4,1132.0,17011.0,2024-08-18,192.56,delhi_govt
Delhi,Rohini,Apartment,3,1377.0,16749.0,2024-05-25,230.63,delhi_govt
Delhi,Mayur Vihar,Villa,5,832.0,13168.0,2024-08-24,109.56,delhi_govt
Delhi,South Extension,Villa,1,1508.0,15541.0,2024-09-01,234.36,delhi_govt
Delhi,Dwarka,Apartment,1,783.0,11400.0,2025-02-09,89.26,delhi_govt
Delhi,Greater Kailash,Row House,3,1022.0,13784.0,2025-03-06,140.87,delhi_govt
Delhi,Mayur Vihar,Plot,2,1224.0,10250.0,2024-04-14,125.46,delhi_govt
Delhi,Mayur Vihar,Apartment,2,976.0,19794.0,2025-02-06,193.19,delhi_govt
Delhi,Dwarka,Apartment,2,532.0,13769.0,2024-04-18,73.25,delhi_govt
Delhi,Greater Kailash,Apartment,2,1397.0,19788.0,2024-08-14,276.44,delhi_govt
Delhi,South Extension,Apartment,1,900.0,16402.0,2024-12-20,147.62,delhi_govt
Delhi,Vasant Kunj,Apartment,5,1338.0,11015.0,2024-09-27,147.38,delhi_govt
Delhi,Greater Kailash,Apartment,2,695.0,16130.0,2025-03-19,112.1,delhi_govt
Delhi,Dwarka,Row House,3,750.0,18644.0,2024-08-23,139.83,delhi_govt
Delhi,Mayur Vihar,Apartment,3,1376.0,14651.0,2024-10-21,201.6,delhi_govt
Delhi,South Extension,Apartment,4,1209.0,15333.0,2025-01-25,185.38,delhi_govt
Delhi,Greater Kailash,Apartment,1,960.0,12518.0,2024-04-09,120.17,delhi_govt
Delhi,Vasant Kunj,Apartment,4,1214.0,15108.0,2025-02-11,183.41,delhi_govt
Delhi,Vasant Kunj,Villa,3,795.0,16071.0,2024-08-04,127.76,delhi_govt
Delhi,Rohini,Apartment,3,1135.0,12395.0,2024-04-21,140.68,delhi_govt
Delhi,Rohini,Apartment,3,1141.0,10143.0,2025-01-20,115.73,delhi_govt
Delhi,Dwarka,Apartment,4,980.0,20796.0,2025-03-02,203.8,delhi_govt
Delhi,Greater Kailash,Villa,2,833.0,17719.0,2024-07-13,147.6,delhi_govt
Delhi,Greater Kailash,Villa,3,1122.0,12536.0,2024-05-24,140.65,delhi_govt
Delhi,Mayur Vihar,Apartment,3,1082.0,15988.0,2024-06-10,172.99,delhi_govt
