city,locality,property_type,bedrooms,area_sqft,price_per_sqft,transaction_date,price_total,source
Mumbai,Goregaon,Apartment,1,630.0,29586.0,2025-03-11,186.39,
Mumbai,Powai,Apartment,3,1057.0,44728.0,2025-02-18,472.77,
Mumbai,Juhu,Apartment,3,1420.0,26750.0,2024-06-22,379.85,
Mumbai,Goregaon,Apartment,1,866.0,32084.0,2024-07-14,277.85,
Mumbai,Worli,Apartment,4,1102.0,12042.0,2025-03-21,132.7,
Mumbai,Juhu,Plot,3,996.0,35406.0,2024-09-19,352.64,
Mumbai,Juhu,Apartment,2,1412.0,48058.0,2024-06-28,678.58,
Mumbai,Goregaon,Apartment,1,797.0,22531.0,2025-01-10,179.57,
Mumbai,Bandra,Apartment,2,1346.0,55396.0,2024-07-30,745.63,
Mumbai,Worli,Plot,4,887.0,31458.0,2024-07-10,279.03,
Mumbai,Goregaon,Apartment,3,792.0,9417.0,2024-05-06,74.58,
Mumbai,Worli,Apartment,3,1033.0,26916.0,2024-12-10,278.04,
Mumbai,Worli,Apartment,3,1103.0,40644.0,2025-03-30,448.3,
Mumbai,Juhu,Apartment,3,1573.0,45995.0,2024-11-20,723.5,
Mumbai,Powai,Apartment,3,1096.0,35745.0,2024-10-12,391.77,
Mumbai,Worli,Apartment,1,1058.0,42541.0,2024-05-13,450.08,
Mumbai,Malad,Apartment,3,1479.0,20578.0,2024-05-26,304.35,
Mumbai,Juhu,Apartment,2,1180.0,24558.0,2024-09-03,289.78,
Mumbai,Bandra,Apartment,2,807.0,16564.0,2025-01-14,133.67,
Mumbai,Powai,Apartment,2,1407.0,25159.0,2024-08-26,353.99,
Mumbai,Malad,Apartment,1,778.0,36095.0,2024-12-24,280.82,
Mumbai,Malad,Apartment,1,805.0,31701.0,2024-07-07,255.19,
Mumbai,Bandra,Apartment,2,745.0,36943.0,2025-03-23,275.23,
Mumbai,Powai,Apartment,5,719.0,22508.0,2024-10-29,161.83,
Mumbai,Juhu,Apartment,2,1100.0,22996.0,2024-11-05,252.96,
Mumbai,Andheri,Apartment,1,923.0,31637.0,2024-12-19,292.01,
Mumbai,Bandra,Apartment,4,920.0,40415.0,2024-06-09,371.82,
Mumbai,Malad,Apartment,2,845.0,24981.0,2024-12-29,211.09,
Mumbai,Juhu,Villa,3,1268.0,26037.0,2024-11-26,330.15,
